iter	RMSE
0	18.20304395
1	18.18275167
2	18.17002085
3	18.15346986
4	18.13592123
5	18.11699704
6	18.09515205
7	18.07425717
8	18.05902695
9	18.04296596
10	18.02527442
11	18.00568907
12	17.98350657
13	17.96454697
14	17.94824763
15	17.93806997
16	17.9170202
17	17.90535461
18	17.89234495
19	17.873467
20	17.85435179
21	17.83736431
22	17.81916021
23	17.80055353
24	17.784973
25	17.7730628
26	17.75086126
27	17.73636037
28	17.72108894
29	17.69580579
30	17.67197082
31	17.65656604
32	17.63478771
33	17.61568376
34	17.60176282
35	17.58235267
36	17.5701455
37	17.54987967
38	17.53742094
39	17.5209395
40	17.50855913
41	17.49662588
42	17.47854654
43	17.47683563
44	17.46186514
45	17.44762694
46	17.43332851
47	17.4178412
48	17.39916576
49	17.38390189
50	17.37093622
51	17.34721649
52	17.32816628
53	17.30941929
54	17.29697602
55	17.28411037
56	17.26174655
57	17.24609776
58	17.22512726
59	17.20645042
60	17.18292615
61	17.15242468
62	17.1370681
63	17.12177373
64	17.10559404
65	17.08543758
66	17.06568643
67	17.05004817
68	17.0371006
69	17.01622181
70	17.00064661
71	16.98062049
72	16.96709408
73	16.94400134
74	16.93073737
75	16.91284244
76	16.90105358
77	16.88799647
78	16.87875446
79	16.86672026
80	16.85280301
81	16.83235298
82	16.820608
83	16.81157361
84	16.79175088
85	16.77867515
86	16.76049852
87	16.74672319
88	16.73037454
89	16.7131447
90	16.69364932
91	16.6764429
92	16.66544626
93	16.65312199
94	16.64053318
95	16.61944675
96	16.60632989
97	16.595276
98	16.58017808
99	16.56669832
100	16.55338743
101	16.54286964
102	16.52263418
103	16.50961506
104	16.49309319
105	16.4776195
106	16.45830815
107	16.44401749
108	16.42690487
109	16.41369045
110	16.3979396
111	16.38372825
112	16.37049362
113	16.35548462
114	16.34144812
115	16.32722483
116	16.31441239
117	16.30229889
118	16.28961635
119	16.27400873
120	16.25701753
121	16.24089628
122	16.22795618
123	16.21260062
124	16.20742901
125	16.19189767
126	16.17587306
127	16.16608328
128	16.15533362
129	16.13841478
130	16.12290767
131	16.10095165
132	16.0820144
133	16.06408221
134	16.05267739
135	16.03384175
136	16.02297065
137	16.00828445
138	15.99943876
139	15.98118234
140	15.97212245
141	15.96159045
142	15.94306391
143	15.92747653
144	15.90673132
145	15.89755067
146	15.88311663
147	15.87054299
148	15.86327521
149	15.85188744
150	15.83888026
151	15.82328539
152	15.80563576
153	15.79335184
154	15.77925941
155	15.76659963
156	15.74863451
157	15.73508554
158	15.72454142
159	15.71086692
160	15.69599157
161	15.68070279
162	15.67297545
163	15.65883246
164	15.64355889
165	15.62840853
166	15.61105867
167	15.59842803
168	15.58574049
169	15.57103408
170	15.55521824
171	15.53903002
172	15.52807687
173	15.51781708
174	15.50617267
175	15.49568135
176	15.48002309
177	15.47063005
178	15.45543265
179	15.439641
180	15.42377171
181	15.4092968
182	15.40177963
183	15.38901182
184	15.37568649
185	15.36135846
186	15.3442375
187	15.33274524
188	15.31157662
189	15.29870838
190	15.27972536
191	15.27058342
192	15.25595185
193	15.23452106
194	15.22631362
195	15.21390259
196	15.19695527
197	15.18050983
198	15.16488431
199	15.1502349
200	15.1362646
201	15.11640935
202	15.10440897
203	15.08496488
204	15.06831152
205	15.05464366
206	15.04584439
207	15.03163655
208	15.02022662
209	15.01014503
210	14.99107471
211	14.96923872
212	14.96274367
213	14.95303447
214	14.94109273
215	14.92202673
216	14.90899169
217	14.90094227
218	14.89218254
219	14.88583266
220	14.87044038
221	14.85660485
222	14.83707675
223	14.82629992
224	14.81268395
225	14.78542554
226	14.77142919
227	14.76389901
228	14.74835001
229	14.73821756
230	14.72603288
231	14.71316605
232	14.69767139
233	14.68297346
234	14.67011278
235	14.66032379
236	14.64575411
237	14.63528567
238	14.61861839
239	14.6032895
240	14.59514153
241	14.58589754
242	14.57207664
243	14.56099563
244	14.54764436
245	14.52789716
246	14.51841263
247	14.50550728
248	14.4937637
249	14.48278842
250	14.46655522
251	14.45738763
252	14.45122412
253	14.4393581
254	14.43000957
255	14.42032149
256	14.40424758
257	14.39133867
258	14.37928648
259	14.36874367
260	14.35258076
261	14.33836289
262	14.32287629
263	14.31190933
264	14.30052851
265	14.28389247
266	14.27480031
267	14.26179325
268	14.25295211
269	14.24023152
270	14.22776644
271	14.20672379
272	14.20045407
273	14.18516119
274	14.16479476
275	14.15085984
276	14.14037277
277	14.12890967
278	14.11383751
279	14.10057371
280	14.0829024
