iter	Passed	Remaining
0	57	57606
1	58	28975
2	58	19418
3	58	14640
4	59	11780
5	59	9865
6	59	8498
7	60	7460
8	60	6639
9	60	6008
10	61	5488
11	61	5056
12	61	4689
13	62	4375
14	62	4105
15	62	3867
16	63	3656
17	63	3468
18	63	3300
19	64	3149
20	64	3014
21	65	2890
22	65	2776
23	65	2672
24	66	2576
25	66	2487
26	66	2401
27	67	2325
28	67	2254
29	67	2189
30	68	2127
31	68	2068
32	68	2012
33	69	1961
34	69	1912
35	69	1866
36	70	1823
37	70	1781
38	70	1742
39	71	1705
40	71	1671
41	71	1639
42	72	1607
43	72	1571
44	72	1542
45	73	1514
46	73	1487
47	73	1461
48	74	1437
49	74	1413
50	74	1390
51	75	1367
52	75	1346
53	75	1325
54	75	1305
55	76	1286
56	76	1268
57	76	1250
58	77	1232
59	77	1215
60	77	1199
61	78	1183
62	78	1168
63	78	1154
64	79	1139
65	79	1125
66	79	1112
67	80	1099
68	80	1088
69	81	1076
70	81	1065
71	81	1055
72	82	1044
73	82	1033
74	82	1021
75	83	1011
76	83	1001
77	83	991
78	84	981
79	84	971
80	84	962
81	85	952
82	85	944
83	85	935
84	86	926
85	86	918
86	86	910
87	87	901
88	87	893
89	87	886
90	87	878
91	88	871
92	88	864
93	88	856
94	89	850
95	89	843
96	89	836
97	90	829
98	90	823
99	90	817
100	91	810
101	91	804
102	91	799
103	92	793
104	92	787
105	92	782
106	93	776
107	93	771
108	93	766
109	94	761
110	94	756
111	94	751
112	95	746
113	95	741
114	95	736
115	96	731
116	96	726
117	96	722
118	96	717
119	97	713
120	97	708
121	97	704
122	98	699
123	98	695
124	98	690
125	98	686
126	99	681
127	99	676
128	99	672
129	99	669
130	100	665
131	100	661
132	100	657
133	101	654
134	101	650
135	101	647
136	102	643
137	102	640
138	102	636
139	103	633
140	103	631
141	104	628
142	104	625
143	104	623
144	105	620
145	105	617
146	106	615
147	106	612
148	106	610
149	107	608
150	107	606
151	108	603
152	108	600
153	108	598
154	109	595
155	109	593
156	110	590
157	110	588
158	110	586
159	111	584
160	111	582
161	112	580
162	112	577
163	112	574
164	113	572
165	113	569
166	113	567
167	113	564
168	114	562
169	114	559
170	114	557
171	115	555
172	115	552
173	115	550
174	116	548
175	116	546
176	116	543
177	117	541
178	117	539
179	117	537
180	118	535
181	118	533
182	118	531
183	119	530
184	119	528
185	120	525
186	120	523
187	120	521
188	121	519
189	121	517
190	121	515
191	122	513
192	122	511
193	122	509
194	123	508
195	123	506
196	123	504
197	124	502
198	124	500
199	124	499
200	125	497
201	125	495
202	125	493
203	126	492
204	126	490
205	126	488
206	126	486
207	127	484
208	127	482
209	127	481
210	128	479
211	128	477
212	128	475
213	129	473
214	129	472
215	129	470
216	129	469
217	130	467
218	130	465
219	130	463
220	131	462
221	131	460
222	131	459
223	132	457
224	132	456
225	132	454
226	133	452
227	133	451
228	133	450
229	133	448
230	134	447
231	134	445
232	134	444
233	135	442
234	135	441
235	135	440
236	136	438
237	136	437
238	136	436
239	137	434
240	137	432
241	137	431
242	138	430
243	138	428
244	138	427
245	139	426
246	139	424
247	139	423
248	139	422
249	140	420
250	140	419
251	140	418
252	141	416
253	141	415
254	141	414
255	141	412
256	142	411
257	142	410
258	142	409
259	143	407
260	143	406
261	143	405
262	144	404
263	144	403
264	144	401
265	145	400
266	145	399
267	145	398
268	146	397
269	146	396
270	146	395
271	147	393
272	147	392
273	147	391
274	148	390
275	148	389
276	148	388
277	149	387
278	149	386
279	149	385
280	150	384
281	150	383
282	150	382
283	151	381
284	151	379
285	151	378
286	151	377
287	152	376
288	152	375
289	152	374
290	153	373
291	153	372
292	153	371
293	154	370
294	154	369
295	154	368
296	155	367
297	155	366
298	155	365
299	156	364
300	156	363
301	156	362
302	156	361
303	157	360
304	157	358
305	157	358
306	158	357
307	158	356
308	158	355
309	159	354
310	159	353
311	159	352
312	160	351
313	160	350
314	160	349
315	161	348
316	161	348
317	161	347
318	162	346
319	162	345
320	162	344
321	163	343
322	163	342
323	163	341
324	164	341
325	164	340
326	164	339
327	165	338
328	165	337
329	165	336
330	166	335
331	166	335
332	166	334
333	167	333
334	167	331
335	167	330
336	167	330
337	168	329
338	168	328
339	168	327
340	169	326
341	169	325
342	169	325
343	170	324
344	170	323
345	170	322
346	171	321
347	171	321
348	171	320
349	172	319
350	172	318
351	172	317
352	173	317
353	173	316
354	173	316
355	174	315
356	174	314
357	174	313
358	175	312
359	175	311
360	175	311
361	176	310
362	176	309
363	176	308
364	177	308
365	177	307
366	178	307
367	178	307
368	179	306
369	180	307
370	181	307
371	181	307
372	182	306
373	182	305
374	182	304
375	183	304
376	183	303
377	183	302
378	184	301
379	184	300
380	184	300
381	184	299
382	185	298
383	185	297
384	186	297
385	186	296
386	186	296
387	187	295
388	187	294
389	188	294
390	188	293
391	188	292
392	189	292
393	189	291
394	190	291
395	190	290
396	191	291
397	191	290
398	192	289
399	192	288
400	192	288
401	193	287
402	193	286
403	193	285
404	193	284
405	194	284
406	195	284
407	195	283
408	195	283
409	196	282
410	196	281
411	196	280
412	197	280
413	197	279
414	197	278
415	198	278
416	198	277
417	198	277
418	199	276
419	199	275
420	199	274
421	200	274
422	200	273
423	200	272
424	201	272
425	201	271
426	201	270
427	202	270
428	202	269
429	202	268
430	203	268
431	203	267
432	203	266
433	203	265
434	204	265
435	204	264
436	204	263
437	205	263
438	205	262
439	205	261
440	206	261
441	206	260
442	206	259
443	206	259
444	207	258
445	207	257
446	207	257
447	208	256
448	208	255
449	208	255
450	209	254
451	209	253
452	209	253
453	210	252
454	210	251
455	210	251
456	211	250
457	211	250
458	211	249
459	211	248
460	212	248
461	212	247
462	213	247
463	213	246
464	213	245
465	214	245
466	214	244
467	214	244
468	214	243
469	215	242
470	215	242
471	215	241
472	216	240
473	216	240
474	216	239
475	217	239
476	217	238
477	217	237
478	218	237
479	218	236
480	218	236
481	219	235
482	219	234
483	219	234
484	220	233
485	220	233
486	220	232
487	221	231
488	221	231
489	221	230
490	221	230
491	222	229
492	222	228
493	222	228
494	223	227
495	223	227
496	223	226
497	224	226
498	224	225
499	224	224
500	225	224
501	225	223
502	225	223
503	226	222
504	226	221
505	226	221
506	227	220
507	227	220
508	227	219
509	227	218
510	228	218
511	228	217
512	228	217
513	229	216
514	229	216
515	229	215
516	230	214
517	230	214
518	230	213
519	231	213
520	231	212
521	231	212
522	232	211
523	232	211
524	232	210
525	232	209
526	233	209
527	233	208
528	233	208
529	234	207
530	234	207
531	234	206
532	235	206
533	235	205
534	235	204
535	236	204
536	236	203
537	236	203
538	237	202
539	237	202
540	237	201
541	237	201
542	238	200
543	238	200
544	238	199
545	239	198
546	239	198
547	239	197
548	240	197
549	240	196
550	240	196
551	241	195
552	241	195
553	241	194
554	242	194
555	242	193
556	242	193
557	242	192
558	243	191
559	243	191
560	243	190
561	244	190
562	244	189
563	244	189
564	245	188
565	245	188
566	245	187
567	246	187
568	246	186
569	246	186
570	247	185
571	247	185
572	247	184
573	247	184
574	248	183
575	248	183
576	249	182
577	249	182
578	249	181
579	249	181
580	250	180
581	250	179
582	250	179
583	251	178
584	251	178
585	251	177
586	252	177
587	252	176
588	252	176
589	253	175
590	253	175
591	253	174
592	254	174
593	254	173
594	254	173
595	255	172
596	255	172
597	255	171
598	255	171
599	256	170
600	256	170
601	257	169
602	257	169
603	257	169
604	258	168
605	258	168
606	259	167
607	259	167
608	260	166
609	260	166
610	260	166
611	261	165
612	261	165
613	261	164
614	262	164
615	262	163
616	262	163
617	263	162
618	263	162
619	263	161
620	264	161
621	264	160
622	264	160
623	265	159
624	265	159
625	266	158
626	266	158
627	266	157
628	266	157
629	267	156
630	267	156
631	267	155
632	268	155
633	268	155
634	268	154
635	269	154
636	269	153
637	269	153
638	270	152
639	270	152
640	270	151
641	271	151
642	271	150
643	271	150
644	272	149
645	272	149
646	272	148
647	272	148
648	273	147
649	273	147
650	273	146
651	274	146
652	274	145
653	274	145
654	275	144
655	275	144
656	275	143
657	276	143
658	276	142
659	276	142
660	276	142
661	277	141
662	277	141
663	277	140
664	278	140
665	278	139
666	278	139
667	279	138
668	279	138
669	279	137
670	280	137
671	280	136
672	280	136
673	281	135
674	281	135
675	281	134
676	281	134
677	282	134
678	282	133
679	282	133
680	283	132
681	283	132
682	283	131
683	284	131
684	284	130
685	284	130
686	285	129
687	285	129
688	285	128
689	285	128
690	286	128
691	286	127
692	286	127
693	287	126
694	287	126
695	287	125
696	288	125
697	288	124
698	288	124
699	289	123
700	289	123
701	289	122
702	290	122
