GAME_DATE,HOME_TEAM,AWAY_TEAM,CURRENT_LINE,CLOSING_LINE,FINAL_LINE
2025-10-21,OKC,HOU,,,
2025-10-21,LAL,GSW,,,
2025-10-22,NYK,CLE,,,238.5
2025-10-22,DAL,SAS,,,238.5
2025-10-22,CHA,BKN,,,238.5
2025-10-22,ORL,MIA,,,238.5
2025-10-22,ATL,TOR,,,238.5
2025-10-22,BOS,PHI,,,238.5
2025-10-22,CHI,DET,,,238.5
2025-10-22,MEM,NOP,,,238.5
2025-10-22,MIL,WAS,,,238.5
2025-10-22,UTA,LAC,,,238.5
2025-10-22,PHX,SAC,,,238.5
2025-10-22,POR,MIN,,,238.5
2025-10-23,GSW,DEN,,,228.0
2025-10-23,IND,OKC,,,249.0
2025-10-24,NYK,BOS,,,231.5
2025-10-24,LAL,MIN,,,230.0
2025-10-24,ORL,ATL,,,251.0
2025-10-24,BKN,CLE,,,241.5
2025-10-24,TOR,MIL,,,254.5
2025-10-24,HOU,DET,,,237.5
2025-10-24,MEM,MIA,,,248.0
2025-10-24,NOP,SAS,,,233.5
2025-10-24,DAL,WAS,,,235.0
2025-10-24,POR,GSW,,,240.0
2025-10-24,SAC,UTA,,,236.5
2025-10-24,LAC,PHX,,,236.5
2025-10-25,DEN,PHX,,,250.75
2025-10-25,PHI,CHA,,,243.0
2025-10-25,MEM,IND,,,265.5
2025-10-25,ORL,CHI,,,229.0
2025-10-25,ATL,OKC,,,249.75
2025-10-26,DAL,TOR,,,233.75
2025-10-26,SAS,BKN,,,240.25
2025-10-26,DET,BOS,,,221.25
2025-10-26,CLE,MIL,,,244.0
2025-10-26,MIA,NYK,,,234.0
2025-10-26,WAS,CHA,,,244.0
2025-10-26,MIN,IND,,,244.25
2025-10-26,LAC,POR,,,239.5
2025-10-26,SAC,LAL,,,227.75
2025-10-27,DAL,OKC,,,241.83333333333334
2025-10-27,UTA,PHX,,,230.0
2025-10-27,HOU,BKN,,,240.91666666666669
2025-10-27,LAL,POR,,,237.33333333333331
2025-10-27,GSW,MEM,,,249.16666666666669
2025-10-27,SAS,TOR,,,240.0
2025-10-27,PHI,ORL,,,231.75
2025-10-27,CHI,ATL,,,223.66666666666669
2025-10-27,MIN,DEN,,,243.66666666666669
2025-10-27,DET,CLE,,,233.33333333333331
2025-10-27,NOP,BOS,,,232.33333333333331
2025-10-28,GSW,LAC,,,240.20833333333331
2025-10-28,WAS,PHI,,,244.66666666666669
2025-10-28,MIA,CHA,,,246.5
2025-10-28,MIL,NYK,,,229.0
2025-10-28,OKC,SAC,,,232.45833333333331
2025-10-29,UTA,POR,,,237.29166666666669
2025-10-29,DEN,NOP,,,241.83333333333331
2025-10-29,PHX,MEM,,,246.625
2025-10-29,MIN,LAL,,,234.75
2025-10-29,DAL,IND,,,234.83333333333331
2025-10-29,CHI,SAC,,,226.66666666666669
2025-10-29,TOR,HOU,,,243.41666666666669
2025-10-29,BKN,ATL,,,240.125
2025-10-29,DET,ORL,,,228.375
2025-10-29,BOS,CLE,,,225.5
2025-10-30,CHA,ORL,,,244.8
2025-10-30,MIL,GSW,,,237.25
2025-10-30,OKC,WAS,,,239.75
2025-10-30,SAS,MIA,,,236.375
2025-10-31,LAC,NOP,,,221.75
2025-10-31,POR,DEN,,,241.475
2025-10-31,PHX,UTA,,,244.5
2025-10-31,MEM,LAL,,,239.10000000000002
2025-10-31,PHI,BOS,,,237.2
2025-10-31,CLE,TOR,,,240.3
2025-10-31,IND,ATL,,,234.975
2025-10-31,CHI,NYK,,,226.0
2025-11-01,BOS,HOU,,,232.95833333333331
2025-11-01,DET,DAL,,,226.2
2025-11-01,WAS,ORL,,,241.45
2025-11-01,MIL,SAC,,,232.3
2025-11-01,CHA,MIN,,,240.8
2025-11-01,IND,GSW,,,235.4
2025-11-02,OKC,NOP,,,230.8
2025-11-02,BKN,PHI,,,243.7
2025-11-02,CHA,UTA,,,242.61666666666667
2025-11-02,CLE,ATL,,,231.41666666666669
2025-11-02,TOR,MEM,,,242.08333333333331
2025-11-02,NYK,CHI,,,232.8
2025-11-02,PHX,SAS,,,229.66666666666669
2025-11-02,LAL,MIA,,,236.61666666666667
2025-11-03,DEN,SAC,,,235.15
2025-11-03,LAC,MIA,,,232.18333333333334
2025-11-03,POR,LAL,,,236.98809523809524
2025-11-03,MEM,DET,,,233.9047619047619
2025-11-03,BKN,MIN,,,236.25
2025-11-03,NYK,WAS,,,237.0
2025-11-03,BOS,UTA,,,230.17857142857144
2025-11-03,IND,MIL,,,237.83333333333331
2025-11-03,HOU,DAL,,,233.33333333333331
2025-11-04,TOR,MIL,,,240.28571428571428
2025-11-04,ATL,ORL,,,233.21428571428572
2025-11-04,CHI,PHI,,,240.91666666666669
2025-11-04,NOP,CHA,,,238.03571428571428
2025-11-04,GSW,PHX,,,236.07142857142856
2025-11-04,LAC,OKC,,,228.8452380952381
2025-11-05,SAC,GSW,,,234.76785714285714
2025-11-05,POR,OKC,,,234.92857142857144
2025-11-05,LAL,SAS,,,231.35416666666669
2025-11-05,DEN,MIA,,,239.8452380952381
2025-11-05,DAL,NOP,,,227.78571428571428
2025-11-05,BOS,WAS,,,229.84821428571428
2025-11-05,NYK,MIN,,,231.14285714285714
2025-11-05,IND,BKN,,,236.42857142857142
2025-11-05,DET,UTA,,,231.21428571428572
2025-11-05,CLE,PHI,,,234.5
2025-11-05,MEM,HOU,,,236.4375
2025-11-06,PHX,LAC,,,231.99107142857144
2025-11-07,MEM,DAL,,,227.77777777777777
2025-11-07,SAC,OKC,,,235.06944444444446
2025-11-07,DEN,GSW,,,235.46031746031747
2025-11-07,MIL,CHI,,,237.5
2025-11-07,MIA,CHA,,,240.375
2025-11-07,MIN,UTA,,,233.375
2025-11-07,BKN,DET,,,231.625
2025-11-07,ATL,TOR,,,236.25
2025-11-07,WAS,CLE,,,235.5625
2025-11-07,ORL,BOS,,,228.27083333333331
2025-11-07,SAS,HOU,,,231.92857142857142
2025-11-08,WAS,DAL,,,231.33333333333334
2025-11-08,PHI,TOR,,,238.69444444444446
2025-11-08,ATL,LAL,,,233.5
2025-11-08,CLE,CHI,,,235.27777777777777
2025-11-08,MIA,POR,,,238.72916666666669
2025-11-08,SAS,NOP,,,228.25
2025-11-08,DEN,IND,,,234.3125
2025-11-08,LAC,PHX,,,230.25694444444446
2025-11-09,SAC,MIN,,,235.72222222222223
2025-11-09,GSW,IND,,,231.17777777777778
2025-11-09,PHI,DET,,,235.3888888888889
2025-11-09,ORL,BOS,,,228.73888888888888
2025-11-09,NYK,BKN,,,234.19444444444446
2025-11-09,MIL,HOU,,,237.20833333333331
2025-11-09,MEM,OKC,,,233.55
2025-11-10,CHA,LAL,,,237.45
2025-11-10,DET,WAS,,,233.2
2025-11-10,ORL,POR,,,236.76666666666665
2025-11-10,MIA,CLE,,,239.1
2025-11-10,CHI,SAS,,,233.66666666666666
2025-11-10,DAL,MIL,,,229.15
2025-11-10,PHX,NOP,,,231.77222222222224
2025-11-10,UTA,MIN,,,234.76111111111112
2025-11-10,LAC,ATL,,,227.43333333333334
2025-11-11,SAC,DEN,,,237.2111111111111
2025-11-11,OKC,GSW,,,229.55
2025-11-11,UTA,IND,,,229.3
2025-11-11,NYK,MEM,,,231.52222222222224
2025-11-11,BKN,TOR,,,235.95
2025-11-11,PHI,BOS,,,231.55
2025-11-12,CHA,MIL,,,237.7
2025-11-12,DET,CHI,,,234.39999999999998
2025-11-12,NYK,ORL,,,232.4
2025-11-12,BOS,MEM,,,226.15
2025-11-12,MIA,CLE,,,243.10000000000002
2025-11-12,HOU,WAS,,,238.79444444444442
2025-11-12,NOP,POR,,,234.60000000000002
2025-11-12,SAS,GSW,,,228.14999999999998
2025-11-12,DAL,PHX,,,226.25
2025-11-12,OKC,LAL,,,229.95
2025-11-12,SAC,ATL,,,231.95
2025-11-12,LAC,DEN,,,228.8
2025-11-13,PHX,IND,,,229.35
2025-11-13,UTA,ATL,,,231.7
2025-11-13,CLE,TOR,,,236.8
2025-11-14,SAS,GSW,,,228.9
2025-11-14,NYK,MIA,,,239.25
2025-11-14,ORL,BKN,,,232.3
2025-11-14,DET,PHI,,,235.05
2025-11-14,HOU,POR,,,238.95
2025-11-14,MIL,CHA,,,234.25
2025-11-14,MIN,SAC,,,239.2
2025-11-14,NOP,LAL,,,230.65
2025-11-14,DAL,LAC,,,223.10000000000002
2025-11-15,CLE,MEM,,,235.10000000000002
2025-11-15,CHA,OKC,,,231.35
2025-11-15,IND,TOR,,,230.2
2025-11-15,MIL,LAL,,,234.4
2025-11-15,MIN,DEN,,,234.75
2025-11-16,DAL,POR,,,231.14999999999998
2025-11-16,UTA,CHI,,,239.89999999999998
2025-11-16,PHX,ATL,,,230.6
2025-11-16,NOP,GSW,,,224.14999999999998
2025-11-16,WAS,BKN,,,235.9
2025-11-16,SAS,SAC,,,235.6
2025-11-16,BOS,LAC,,,224.25
2025-11-16,HOU,ORL,,,234.39999999999998
2025-11-17,CLE,MIL,,,238.6
2025-11-17,DET,IND,,,229.65
2025-11-17,PHI,LAC,,,231.8
2025-11-17,MIA,NYK,,,245.35000000000002
2025-11-17,TOR,CHA,,,232.35000000000002
2025-11-17,MIN,DAL,,,233.64999999999998
2025-11-17,NOP,OKC,,,227.05
2025-11-17,DEN,CHI,,,239.6
2025-11-18,LAL,UTA,,,236.14999999999998
2025-11-18,SAS,MEM,,,228.8
2025-11-18,POR,PHX,,,236.89999999999998
2025-11-18,BKN,BOS,,,226.65
2025-11-18,ORL,GSW,,,227.3
2025-11-18,ATL,DET,,,231.9
2025-11-19,POR,CHI,,,247.3
2025-11-19,DAL,NYK,,,236.0
2025-11-19,NOP,DEN,,,232.3
2025-11-19,MIN,WAS,,,238.95
2025-11-19,OKC,SAC,,,235.05
2025-11-19,MIA,GSW,,,236.25
2025-11-19,IND,CHA,,,230.25
2025-11-19,CLE,HOU,,,239.0
2025-11-19,PHI,TOR,,,230.60000000000002
2025-11-20,ORL,LAC,,,229.5
2025-11-20,MEM,SAC,,,231.65
2025-11-20,MIL,PHI,,,231.5
2025-11-20,SAS,ATL,,,230.7
2025-11-21,HOU,DEN,,,235.9
2025-11-21,UTA,OKC,,,234.39999999999998
2025-11-21,GSW,POR,,,234.45
2025-11-21,PHX,MIN,,,232.25
2025-11-21,BOS,BKN,,,224.05
2025-11-21,CHI,MIA,,,247.0
2025-11-21,TOR,WAS,,,232.75
2025-11-21,CLE,IND,,,236.15
2025-11-21,DAL,NOP,,,229.75
2025-11-22,CHA,LAC,,,230.8
2025-11-22,ORL,NYK,,,234.0
2025-11-22,NOP,ATL,,,231.25
2025-11-22,CHI,WAS,,,243.5
2025-11-22,MIL,DET,,,232.45
2025-11-22,DAL,MEM,,,227.55
2025-11-22,DEN,SAC,,,236.5
2025-11-23,UTA,LAL,,,239.8
2025-11-23,PHX,SAS,,,233.4
2025-11-23,OKC,POR,,,237.0
2025-11-23,TOR,BKN,,,227.8
2025-11-23,CLE,LAC,,,236.05
2025-11-23,ATL,CHA,,,232.25
2025-11-23,PHI,MIA,,,237.15
2025-11-23,BOS,ORL,,,226.35000000000002
2025-11-24,GSW,UTA,,,236.8
2025-11-24,IND,DET,,,232.85
2025-11-24,TOR,CLE,,,234.95
2025-11-24,BKN,NYK,,,232.35
2025-11-24,MIA,DAL,,,238.3
2025-11-24,MEM,DEN,,,229.3
2025-11-24,MIL,POR,,,239.65
2025-11-24,NOP,CHI,,,237.75
2025-11-24,PHX,HOU,,,229.15
2025-11-24,SAC,MIN,,,235.55
