TEAM,TEAM_NAME,GP,PACE,OFF_RATING,DEF_RATING,NET_RATING,TS_PCT,EFG_PCT,UPDATED_AT,TEAM_ID,OFFRTG,DEFRTG,NETRTG,TS,EFG,DATE
,Washington Mystics,44.0,94.76,97.2,103.2,-6.0,0.53,0.483,2025-11-05T22:11:58Z,,,,,,,
,,,93.08,,,,,,,1611661330.0,108.2,98.9,9.3,,0.514,2025-10-06
ATL,,,105.03,,,,,,,1610612737.0,110.2,107.2,3.0,,0.532,2025-10-06
BOS,,,106.68,,,,,,,1610612738.0,105.6,93.9,11.7,,0.492,2025-10-06
BKN,,,107.64,,,,,,,1610612751.0,99.6,104.0,-4.5,,0.472,2025-10-06
CHA,,,104.7,,,,,,,1610612766.0,113.4,96.6,16.8,,0.543,2025-10-06
CHI,,,111.0,,,,,,,1610612741.0,105.0,111.9,-6.9,,0.514,2025-10-06
,,,93.75,,,,,,,1611661329.0,97.0,109.9,-12.8,,0.476,2025-10-06
CLE,,,101.76,,,,,,,1610612739.0,108.0,105.2,2.9,,0.462,2025-10-06
,,,94.57,,,,,,,1611661323.0,95.9,108.8,-12.9,,0.458,2025-10-06
DAL,,,99.72,,,,,,,1610612742.0,96.4,97.6,-1.2,,0.465,2025-10-06
,,,96.34,,,,,,,1611661321.0,101.6,109.1,-7.5,,0.469,2025-10-06
DEN,,,102.6,,,,,,,1610612743.0,107.0,103.7,3.3,,0.509,2025-10-06
DET,,,104.16,,,,,,,1610612765.0,107.4,102.1,5.3,,0.511,2025-10-06
,,,91.55,,,,,,,1611661331.0,101.5,99.8,1.7,,0.482,2025-10-06
GSW,,,103.95,,,,,,,1610612744.0,97.8,101.4,-3.6,,0.472,2025-10-06
HOU,,,109.19,,,,,,,1610612745.0,102.2,110.5,-8.3,,0.47,2025-10-06
,,,95.71,,,,,,,1611661325.0,106.2,101.8,4.5,,0.517,2025-10-06
IND,,,108.24,,,,,,,1610612754.0,112.8,116.7,-3.8,,0.563,2025-10-06
LAC,,,107.16,,,,,,,1610612746.0,95.5,95.5,0.0,,0.486,2025-10-06
,,,94.92,,,,,,,1611661319.0,105.9,101.9,3.9,,0.506,2025-10-06
LAL,,,100.2,,,,,,,1610612747.0,100.9,103.1,-2.3,,0.486,2025-10-06
,,,96.84,,,,,,,1611661320.0,105.2,108.5,-3.3,,0.521,2025-10-06
MEM,,,105.22,,,,,,,1610612763.0,105.8,104.4,1.4,,0.505,2025-10-06
MIA,,,106.27,,,,,,,1610612748.0,100.1,104.9,-4.8,,0.506,2025-10-06
MIL,,,105.36,,,,,,,1610612749.0,102.5,110.5,-8.0,,0.486,2025-10-06
,,,94.06,,,,,,,1611661324.0,109.5,97.5,12.1,,0.542,2025-10-06
MIN,,,107.88,,,,,,,1610612750.0,105.1,96.7,8.5,,0.505,2025-10-06
NOP,,,111.48,,,,,,,1610612740.0,95.5,106.3,-10.8,,0.446,2025-10-06
NYK,,,105.12,,,,,,,1610612752.0,100.0,108.4,-8.4,,0.475,2025-10-06
,,,95.75,,,,,,,1611661313.0,105.8,100.6,5.2,,0.526,2025-10-06
OKC,,,105.0,,,,,,,1610612760.0,101.9,98.0,3.9,,0.498,2025-10-06
ORL,,,104.88,,,,,,,1610612753.0,91.3,103.7,-12.3,,0.447,2025-10-06
PHI,,,102.6,,,,,,,1610612755.0,98.2,102.8,-4.5,,0.465,2025-10-06
,,,95.81,,,,,,,1611661317.0,103.6,100.4,3.2,,0.502,2025-10-06
PHX,,,107.88,,,,,,,1610612756.0,100.9,100.9,0.0,,0.517,2025-10-06
POR,,,108.72,,,,,,,1610612757.0,104.6,99.3,5.3,,0.51,2025-10-06
SAC,,,101.8,,,,,,,1610612758.0,109.4,99.4,10.0,,0.545,2025-10-06
SAS,,,102.11,,,,,,,1610612759.0,102.9,99.0,3.9,,0.511,2025-10-06
,,,95.28,,,,,,,1611661328.0,103.0,100.1,2.9,,0.505,2025-10-06
TOR,,,110.52,,,,,,,1610612761.0,103.3,91.5,11.7,,0.496,2025-10-06
UTA,,,109.34,,,,,,,1610612762.0,103.4,104.9,-1.5,,0.499,2025-10-06
,,,94.76,,,,,,,1611661322.0,97.2,103.2,-6.0,,0.483,2025-10-06
WAS,,,105.72,,,,,,,1610612764.0,94.1,100.7,-6.6,,0.476,2025-10-06
,,,93.08,,,,,,,1611661330.0,108.2,98.9,9.3,,0.514,2025-10-07
ATL,,,105.03,,,,,,,1610612737.0,110.2,107.2,3.0,,0.532,2025-10-07
BOS,,,106.68,,,,,,,1610612738.0,105.6,93.9,11.7,,0.492,2025-10-07
BKN,,,107.64,,,,,,,1610612751.0,99.6,104.0,-4.5,,0.472,2025-10-07
CHA,,,104.7,,,,,,,1610612766.0,113.4,96.6,16.8,,0.543,2025-10-07
CHI,,,111.0,,,,,,,1610612741.0,105.0,111.9,-6.9,,0.514,2025-10-07
,,,93.75,,,,,,,1611661329.0,97.0,109.9,-12.8,,0.476,2025-10-07
CLE,,,101.76,,,,,,,1610612739.0,108.0,105.2,2.9,,0.462,2025-10-07
,,,94.57,,,,,,,1611661323.0,95.9,108.8,-12.9,,0.458,2025-10-07
DAL,,,99.72,,,,,,,1610612742.0,96.4,97.6,-1.2,,0.465,2025-10-07
,,,96.34,,,,,,,1611661321.0,101.6,109.1,-7.5,,0.469,2025-10-07
DEN,,,102.6,,,,,,,1610612743.0,107.0,103.7,3.3,,0.509,2025-10-07
DET,,,104.16,,,,,,,1610612765.0,107.4,102.1,5.3,,0.511,2025-10-07
,,,91.55,,,,,,,1611661331.0,101.5,99.8,1.7,,0.482,2025-10-07
GSW,,,103.95,,,,,,,1610612744.0,97.8,101.4,-3.6,,0.472,2025-10-07
HOU,,,109.19,,,,,,,1610612745.0,102.2,110.5,-8.3,,0.47,2025-10-07
,,,95.71,,,,,,,1611661325.0,106.2,101.8,4.5,,0.517,2025-10-07
IND,,,108.24,,,,,,,1610612754.0,112.8,116.7,-3.8,,0.563,2025-10-07
LAC,,,107.16,,,,,,,1610612746.0,95.5,95.5,0.0,,0.486,2025-10-07
,,,94.92,,,,,,,1611661319.0,105.9,101.9,3.9,,0.506,2025-10-07
LAL,,,100.2,,,,,,,1610612747.0,100.9,103.1,-2.3,,0.486,2025-10-07
,,,96.84,,,,,,,1611661320.0,105.2,108.5,-3.3,,0.521,2025-10-07
MEM,,,105.22,,,,,,,1610612763.0,105.8,104.4,1.4,,0.505,2025-10-07
MIA,,,106.27,,,,,,,1610612748.0,100.1,104.9,-4.8,,0.506,2025-10-07
MIL,,,105.36,,,,,,,1610612749.0,102.5,110.5,-8.0,,0.486,2025-10-07
,,,94.06,,,,,,,1611661324.0,109.5,97.5,12.1,,0.542,2025-10-07
MIN,,,107.88,,,,,,,1610612750.0,105.1,96.7,8.5,,0.505,2025-10-07
NOP,,,111.48,,,,,,,1610612740.0,95.5,106.3,-10.8,,0.446,2025-10-07
NYK,,,105.12,,,,,,,1610612752.0,100.0,108.4,-8.4,,0.475,2025-10-07
,,,95.75,,,,,,,1611661313.0,105.8,100.6,5.2,,0.526,2025-10-07
OKC,,,105.0,,,,,,,1610612760.0,101.9,98.0,3.9,,0.498,2025-10-07
ORL,,,104.88,,,,,,,1610612753.0,91.3,103.7,-12.3,,0.447,2025-10-07
PHI,,,102.6,,,,,,,1610612755.0,98.2,102.8,-4.5,,0.465,2025-10-07
,,,95.81,,,,,,,1611661317.0,103.6,100.4,3.2,,0.502,2025-10-07
PHX,,,107.88,,,,,,,1610612756.0,100.9,100.9,0.0,,0.517,2025-10-07
POR,,,108.72,,,,,,,1610612757.0,104.6,99.3,5.3,,0.51,2025-10-07
SAC,,,101.8,,,,,,,1610612758.0,109.4,99.4,10.0,,0.545,2025-10-07
SAS,,,102.11,,,,,,,1610612759.0,102.9,99.0,3.9,,0.511,2025-10-07
,,,95.28,,,,,,,1611661328.0,103.0,100.1,2.9,,0.505,2025-10-07
TOR,,,110.52,,,,,,,1610612761.0,103.3,91.5,11.7,,0.496,2025-10-07
UTA,,,109.34,,,,,,,1610612762.0,103.4,104.9,-1.5,,0.499,2025-10-07
,,,94.76,,,,,,,1611661322.0,97.2,103.2,-6.0,,0.483,2025-10-07
WAS,,,105.72,,,,,,,1610612764.0,94.1,100.7,-6.6,,0.476,2025-10-07
,,,93.08,,,,,,,1611661330.0,108.2,98.9,9.3,,0.514,2025-10-08
