feature,dtype,notna,pct_filled,all_nan,const,non_numeric,min,max
CURRENT_LINE,float64,0,0.0,True,False,False,,
H2H_AVG_TOTAL_LASTN,float64,0,0.0,True,False,False,,
MATCHUP_AWAY_10,float64,0,0.0,True,False,False,,
MATCHUP_AWAY_3,float64,0,0.0,True,False,False,,
MATCHUP_AWAY_5,float64,0,0.0,True,False,False,,
MATCHUP_HOME_10,float64,0,0.0,True,False,False,,
MATCHUP_HOME_3,float64,0,0.0,True,False,False,,
MATCHUP_HOME_5,float64,0,0.0,True,False,False,,
TS_AWAY,float64,0,0.0,True,False,False,,
TS_DIFF,float64,0,0.0,True,False,False,,
TS_HOME,float64,0,0.0,True,False,False,,
DIFESA_AWAY_10,float64,1,4.0,False,True,False,129.0,129.0
DIFESA_AWAY_3,float64,1,4.0,False,True,False,129.0,129.0
DIFESA_AWAY_5,float64,1,4.0,False,True,False,129.0,129.0
FORMA_AWAY_10,float64,1,4.0,False,True,False,102.0,102.0
FORMA_AWAY_3,float64,1,4.0,False,True,False,102.0,102.0
FORMA_AWAY_5,float64,1,4.0,False,True,False,102.0,102.0
DIFESA_HOME_10,float64,3,12.0,False,False,False,107.0,146.0
DIFESA_HOME_3,float64,3,12.0,False,False,False,107.0,146.0
DIFESA_HOME_5,float64,3,12.0,False,False,False,107.0,146.0
FORMA_HOME_10,float64,3,12.0,False,False,False,107.0,114.0
FORMA_HOME_3,float64,3,12.0,False,False,False,107.0,114.0
FORMA_HOME_5,float64,3,12.0,False,False,False,107.0,114.0
FINAL_LINE,float64,5,20.0,False,False,False,218.0,260.0
DEFRTG_AWAY,float64,24,96.0,False,False,False,98.9,116.2
EFG_AWAY,float64,24,96.0,False,False,False,0.499,0.557
EFG_DIFF,float64,24,96.0,False,False,False,-0.081,0.031
NETRTG_AWAY,float64,24,96.0,False,False,False,-5.1,17.0
NETRTG_DIFF,float64,24,96.0,False,False,False,-20.8,12.3
OFFRTG_AWAY,float64,24,96.0,False,False,False,99.2,115.9
OFFRTG_DIFF,float64,24,96.0,False,False,False,-15.300000000000011,6.099999999999994
PACE_AWAY,float64,24,96.0,False,False,False,101.16,109.94
PACE_DIFF,float64,24,96.0,False,False,False,-7.209999999999994,8.64
3IN4_AWAY,int64,25,100.0,False,True,False,0.0,0.0
3IN4_HOME,int64,25,100.0,False,True,False,0.0,0.0
4IN6_AWAY,int64,25,100.0,False,True,False,0.0,0.0
4IN6_HOME,int64,25,100.0,False,True,False,0.0,0.0
ALL_STAR_FLAG,int64,25,100.0,False,True,False,0.0,0.0
AVG_PACE,float64,25,100.0,False,False,False,101.16,107.72
AWAY_B2B,int64,25,100.0,False,False,False,0.0,1.0
AWAY_GAMES_LAST3,int64,25,100.0,False,False,False,0.0,1.0
AWAY_GAMES_LAST5,int64,25,100.0,False,False,False,0.0,1.0
AWAY_REST_DAYS,float64,25,100.0,False,False,False,1.0,19.0
COAST_TRAVEL,int64,25,100.0,False,False,False,0.0,1.0
DEFRTG_HOME,float64,25,100.0,False,False,False,97.6,111.5
DIFESA_SUM_5,int64,25,100.0,False,True,False,0.0,0.0
EFG_HOME,float64,25,100.0,False,False,False,0.463,0.549
END_SEASON_FLAG,int64,25,100.0,False,True,False,1.0,1.0
FATIGUE_AWAY,int64,25,100.0,False,False,False,-1.0,2.0
FATIGUE_HOME,int64,25,100.0,False,False,False,-1.0,2.0
FORMA_DIFF_5,int64,25,100.0,False,True,False,0.0,0.0
FORMA_SUM_5,int64,25,100.0,False,True,False,0.0,0.0
GAMES_LAST4_AWAY,int64,25,100.0,False,False,False,1.0,2.0
GAMES_LAST4_HOME,int64,25,100.0,False,False,False,1.0,2.0
GAMES_LAST6_AWAY,int64,25,100.0,False,False,False,1.0,2.0
GAMES_LAST6_HOME,int64,25,100.0,False,False,False,1.0,2.0
HOME_B2B,int64,25,100.0,False,False,False,0.0,1.0
HOME_GAMES_LAST3,int64,25,100.0,False,False,False,0.0,1.0
HOME_GAMES_LAST5,int64,25,100.0,False,False,False,0.0,1.0
HOME_REST_DAYS,float64,25,100.0,False,False,False,1.0,19.0
IMPACT_AWAY,float64,25,100.0,False,True,False,0.0,0.0
IMPACT_HOME,float64,25,100.0,False,True,False,0.0,0.0
KEY_PLAYERS_OUT_AWAY,float64,25,100.0,False,True,False,0.0,0.0
KEY_PLAYERS_OUT_HOME,float64,25,100.0,False,True,False,0.0,0.0
LAST_GAME_ROADTRIP_AWAY,int64,25,100.0,False,True,False,0.0,0.0
LAST_GAME_ROADTRIP_HOME,int64,25,100.0,False,True,False,0.0,0.0
NETRTG_HOME,float64,25,100.0,False,False,False,-8.5,9.9
OFFRTG_HOME,float64,25,100.0,False,False,False,96.0,110.4
PACE_HOME,float64,25,100.0,False,False,False,99.52,109.95
PDIFF_AWAY,int64,25,100.0,False,False,False,-27.0,32.0
PDIFF_HOME,int64,25,100.0,False,False,False,-32.0,27.0
PLAYOFF_RACE_FLAG,int64,25,100.0,False,True,False,1.0,1.0
REB_DIFF,int64,25,100.0,False,True,False,0.0,0.0
REST_ADV_FLAG,int64,25,100.0,False,True,False,0.0,0.0
REST_DIFF,int64,25,100.0,False,True,False,0.0,0.0
ROAD_TRIP_AWAY,int64,25,100.0,False,True,False,1.0,1.0
ROAD_TRIP_HOME,int64,25,100.0,False,True,False,0.0,0.0
ROAD_TRIP_LEN_AWAY,int64,25,100.0,False,False,False,1.0,2.0
ROAD_TRIP_LEN_HOME,int64,25,100.0,False,True,False,0.0,0.0
SEASON_PHASE,int64,25,100.0,False,True,False,0.0,0.0
STREAK_AWAY,int64,25,100.0,False,False,False,-1.0,1.0
STREAK_HOME,int64,25,100.0,False,False,False,-1.0,1.0
THREEPT_DIFF,int64,25,100.0,False,True,False,0.0,0.0
TOV_DIFF,int64,25,100.0,False,True,False,0.0,0.0
TREND_AWAY,int64,25,100.0,False,False,False,-27.0,32.0
TREND_HOME,int64,25,100.0,False,False,False,-32.0,27.0
